consumo_kwh,cantidad_equipos,horas_alto_consumo,tipo_inmueble,uso_horario_pico,categoria
477,4,4,Casa,False,Moderado
874,10,6,Casa,False,Moderado
472,11,2,Casa,False,Moderado
286,15,4,Apartamento,False,Moderado
94,12,9,Casa,False,Moderado
937,19,12,Oficina,True,Moderado
633,13,9,Casa,True,Moderado
540,13,5,Casa,True,Moderado
770,14,3,Apartamento,False,Moderado
654,14,9,Local,True,Moderado
943,20,9,Casa,True,Moderado
822,20,11,Casa,False,Moderado
320,15,5,Oficina,False,Moderado
643,5,4,Casa,True,Moderado
175,14,3,Local,True,Eficiente
813,9,10,Casa,True,Ineficiente
564,20,2,Apartamento,True,Moderado
486,13,8,Apartamento,False,Moderado
310,19,6,Casa,True,Moderado
828,7,9,Local,False,Ineficiente
734,19,5,Casa,False,Moderado
250,20,8,Casa,True,Moderado
620,6,6,Apartamento,False,Moderado
115,10,6,Casa,True,Moderado
604,4,10,Apartamento,True,Ineficiente
239,11,10,Casa,True,Moderado
918,20,10,Casa,True,Moderado
778,4,13,Casa,True,Ineficiente
322,16,7,Casa,True,Moderado
165,2,7,Casa,False,Moderado
875,8,6,Apartamento,False,Moderado
657,13,10,Oficina,False,Moderado
761,18,11,Local,True,Moderado
636,21,9,Casa,False,Moderado
653,6,8,Casa,False,Ineficiente
725,5,8,Casa,False,Ineficiente
875,13,7,Casa,False,Moderado
107,21,6,Apartamento,False,Moderado
699,19,5,Casa,True,Moderado
635,18,4,Casa,False,Moderado
419,20,4,Oficina,True,Moderado
877,10,7,Casa,False,Moderado
410,5,5,Casa,True,Moderado
719,3,13,Casa,True,Ineficiente
585,5,13,Casa,True,Ineficiente
427,3,7,Local,False,Moderado
552,16,4,Casa,True,Moderado
310,3,5,Casa,True,Moderado
269,5,10,Casa,False,Moderado
304,7,6,Casa,False,Moderado
464,8,8,Casa,True,Ineficiente
456,11,11,Local,True,Moderado
362,20,3,Local,False,Eficiente
712,20,6,Apartamento,False,Moderado
707,13,10,Casa,False,Moderado
824,4,12,Local,False,Ineficiente
338,14,4,Apartamento,True,Moderado
438,19,10,Casa,False,Moderado
789,9,12,Apartamento,False,Ineficiente
535,16,7,Casa,False,Moderado
490,2,5,Casa,True,Moderado
728,4,8,Apartamento,False,Ineficiente
397,9,9,Casa,False,Moderado
756,5,7,Apartamento,True,Moderado
304,17,6,Casa,False,Moderado
898,11,7,Local,False,Moderado
313,13,6,Oficina,False,Moderado
763,15,9,Local,False,Moderado
743,15,2,Casa,False,Moderado
906,3,12,Casa,False,Ineficiente
453,6,8,Casa,True,Ineficiente
751,6,11,Casa,True,Ineficiente
687,7,11,Casa,True,Ineficiente
551,14,12,Apartamento,False,Moderado
312,10,3,Apartamento,False,Moderado
771,16,10,Oficina,False,Moderado
192,15,2,Casa,False,Eficiente
909,8,12,Casa,False,Ineficiente
576,21,11,Casa,False,Moderado
521,3,7,Oficina,True,Moderado
643,8,10,Apartamento,False,Ineficiente
347,7,2,Local,True,Moderado
589,18,5,Oficina,False,Moderado
886,3,5,Apartamento,False,Moderado
465,4,10,Casa,False,Ineficiente
466,6,12,Casa,True,Ineficiente
192,6,6,Apartamento,True,Moderado
692,2,6,Casa,False,Moderado
704,9,7,Casa,False,Moderado
160,13,2,Oficina,True,Eficiente
778,5,2,Oficina,False,Moderado
192,14,10,Apartamento,True,Moderado
81,16,4,Apartamento,False,Moderado
721,12,5,Apartamento,False,Moderado
299,11,2,Casa,False,Eficiente
645,4,10,Casa,False,Ineficiente
934,15,9,Apartamento,False,Ineficiente
815,17,3,Apartamento,False,Moderado
304,11,9,Casa,True,Moderado
464,11,8,Oficina,True,Moderado
482,13,12,Casa,True,Moderado
717,10,7,Casa,False,Moderado
209,2,2,Apartamento,True,Moderado
132,6,8,Casa,True,Moderado
763,21,11,Casa,True,Moderado
809,9,8,Casa,True,Ineficiente
751,12,10,Apartamento,True,Ineficiente
789,13,2,Casa,False,Moderado
495,2,3,Apartamento,False,Moderado
326,21,12,Apartamento,False,Moderado
915,12,10,Casa,False,Ineficiente
518,6,10,Oficina,True,Ineficiente
282,16,7,Casa,False,Moderado
263,6,7,Oficina,True,Moderado
202,13,5,Apartamento,True,Moderado
480,6,5,Oficina,False,Moderado
846,18,6,Casa,True,Moderado
373,18,4,Casa,False,Moderado
359,13,2,Casa,True,Eficiente
916,16,2,Casa,False,Moderado
689,16,13,Apartamento,False,Moderado
277,7,8,Casa,True,Moderado
590,13,2,Apartamento,False,Moderado
831,21,2,Casa,True,Moderado
223,19,4,Casa,False,Moderado
688,15,11,Apartamento,True,Moderado
280,3,5,Casa,False,Moderado
203,10,5,Apartamento,False,Moderado
266,6,3,Apartamento,True,Moderado
405,21,2,Local,False,Eficiente
543,2,4,Casa,False,Moderado
428,4,12,Apartamento,False,Ineficiente
850,7,5,Oficina,False,Moderado
739,6,4,Apartamento,True,Moderado
843,6,9,Casa,False,Ineficiente
482,2,11,Apartamento,True,Ineficiente
425,18,2,Apartamento,True,Eficiente
590,20,3,Apartamento,False,Moderado
226,15,8,Casa,False,Moderado
227,13,5,Casa,True,Moderado
943,11,9,Local,True,Ineficiente
790,21,12,Casa,False,Moderado
899,19,4,Apartamento,True,Moderado
568,12,7,Casa,True,Moderado
719,3,10,Apartamento,True,Ineficiente
630,19,2,Casa,False,Moderado
417,8,2,Casa,False,Moderado
720,16,9,Oficina,True,Moderado
858,12,4,Local,False,Moderado
552,19,6,Apartamento,True,Moderado
230,13,2,Casa,False,Eficiente
494,7,6,Apartamento,False,Moderado
377,21,12,Apartamento,False,Moderado
690,14,7,Apartamento,False,Moderado
342,21,9,Casa,False,Moderado
843,17,4,Apartamento,False,Moderado
223,19,4,Apartamento,False,Moderado
425,11,13,Oficina,False,Moderado
703,9,12,Casa,True,Ineficiente
651,19,12,Apartamento,True,Moderado
81,2,11,Apartamento,False,Moderado
383,9,10,Casa,False,Moderado
333,7,5,Casa,True,Moderado
731,6,5,Casa,True,Moderado
532,16,13,Casa,False,Moderado
116,16,8,Casa,False,Moderado
239,3,3,Apartamento,False,Moderado
88,2,9,Apartamento,False,Moderado
312,12,7,Apartamento,False,Moderado
178,11,4,Oficina,False,Moderado
738,19,10,Casa,False,Moderado
895,19,6,Casa,False,Moderado
287,18,9,Apartamento,False,Moderado
210,9,8,Casa,True,Moderado
483,16,9,Casa,True,Moderado
231,9,8,Casa,False,Moderado
133,18,4,Casa,True,Moderado
199,13,3,Local,True,Eficiente
752,9,8,Casa,False,Ineficiente
707,15,4,Casa,False,Moderado
666,5,4,Casa,True,Moderado
704,2,3,Apartamento,True,Moderado
499,2,5,Casa,True,Moderado
501,20,9,Apartamento,False,Moderado
183,17,13,Casa,True,Moderado
931,15,2,Casa,True,Moderado
333,17,2,Apartamento,True,Eficiente
306,6,13,Casa,False,Moderado
191,10,6,Casa,True,Moderado
589,3,12,Casa,True,Ineficiente
552,19,6,Oficina,False,Moderado
178,7,12,Casa,False,Moderado
232,10,13,Apartamento,False,Moderado
940,2,2,Casa,False,Moderado
417,10,7,Casa,False,Moderado
785,17,2,Casa,True,Moderado
901,14,6,Oficina,False,Moderado
242,10,10,Casa,True,Moderado
799,14,13,Casa,False,Ineficiente
760,10,6,Casa,True,Moderado
240,12,7,Casa,True,Moderado
659,5,9,Casa,False,Ineficiente
880,3,12,Apartamento,True,Ineficiente
477,7,2,Casa,False,Moderado
356,15,3,Casa,True,Eficiente
895,5,10,Apartamento,True,Ineficiente
583,7,4,Casa,False,Moderado
471,20,7,Casa,False,Moderado
214,7,6,Casa,False,Moderado
274,3,12,Apartamento,True,Ineficiente
480,19,3,Casa,False,Eficiente
719,14,8,Casa,False,Moderado
112,10,5,Casa,False,Moderado
767,20,2,Apartamento,False,Moderado
539,14,5,Casa,False,Moderado
549,12,7,Apartamento,False,Moderado
454,2,8,Local,False,Ineficiente
101,8,8,Apartamento,False,Moderado
829,16,8,Casa,False,Moderado
749,2,4,Casa,True,Moderado
117,13,7,Casa,True,Moderado
309,8,9,Casa,False,Moderado
444,16,5,Casa,True,Moderado
642,20,9,Apartamento,True,Moderado
517,2,3,Casa,True,Moderado
855,18,11,Casa,True,Moderado
362,18,10,Apartamento,False,Moderado
106,4,10,Apartamento,False,Moderado
305,13,9,Casa,False,Moderado
356,7,11,Local,True,Moderado
877,12,11,Casa,False,Ineficiente
688,4,2,Apartamento,False,Moderado
363,9,3,Apartamento,False,Moderado
560,15,7,Apartamento,False,Moderado
532,15,11,Apartamento,True,Moderado
908,11,6,Casa,False,Moderado
895,3,13,Casa,False,Ineficiente
738,15,10,Apartamento,False,Moderado
595,10,6,Casa,False,Moderado
626,4,3,Local,True,Moderado
271,9,11,Casa,False,Moderado
128,17,5,Casa,False,Moderado
591,3,10,Casa,True,Ineficiente
96,7,2,Casa,False,Eficiente
251,13,12,Apartamento,True,Moderado
299,6,2,Apartamento,True,Moderado
237,3,13,Apartamento,True,Ineficiente
556,17,8,Local,True,Moderado
125,6,12,Local,False,Moderado
452,16,4,Local,True,Moderado
597,13,11,Casa,True,Moderado
178,5,3,Apartamento,False,Moderado
824,16,10,Casa,False,Moderado
116,12,4,Casa,False,Moderado
359,17,3,Apartamento,True,Eficiente
428,7,13,Casa,False,Ineficiente
576,15,9,Casa,True,Moderado
381,19,11,Casa,False,Moderado
260,13,7,Casa,True,Moderado
686,12,7,Oficina,False,Moderado
178,14,11,Casa,True,Moderado
779,12,12,Casa,False,Ineficiente
195,17,8,Casa,False,Moderado
270,16,8,Casa,False,Moderado
332,16,12,Oficina,True,Moderado
240,5,7,Casa,False,Moderado
335,12,5,Apartamento,False,Moderado
402,20,12,Apartamento,False,Moderado
207,16,10,Oficina,True,Moderado
97,5,7,Apartamento,True,Moderado
872,14,5,Local,False,Moderado
814,20,13,Casa,False,Moderado
645,3,4,Casa,False,Moderado
649,15,5,Casa,False,Moderado
402,5,4,Local,False,Moderado
765,17,3,Casa,False,Moderado
871,21,6,Casa,True,Moderado
705,15,3,Casa,True,Moderado
367,16,7,Casa,False,Moderado
933,4,4,Casa,True,Moderado
742,9,7,Oficina,True,Moderado
718,17,12,Casa,True,Moderado
234,11,11,Apartamento,True,Moderado
569,5,10,Apartamento,False,Ineficiente
465,19,2,Casa,False,Eficiente
864,3,7,Casa,False,Moderado
183,18,10,Casa,True,Moderado
472,14,12,Casa,False,Moderado
890,5,5,Apartamento,True,Moderado
325,12,12,Casa,False,Moderado
255,8,13,Casa,False,Moderado
118,13,3,Apartamento,True,Eficiente
556,11,5,Oficina,False,Moderado
761,8,2,Local,False,Moderado
838,14,4,Local,True,Moderado
617,8,11,Apartamento,False,Ineficiente
946,18,10,Casa,False,Moderado
897,11,11,Apartamento,True,Ineficiente
487,11,6,Casa,False,Moderado
604,5,12,Apartamento,False,Ineficiente
907,21,7,Apartamento,False,Moderado
585,5,4,Casa,True,Moderado
904,8,6,Apartamento,True,Moderado
115,2,12,Oficina,False,Ineficiente
764,13,9,Casa,True,Ineficiente
99,14,7,Local,False,Moderado
400,11,5,Casa,False,Moderado
855,16,3,Apartamento,False,Moderado
591,14,10,Casa,False,Moderado
479,10,13,Apartamento,True,Moderado
733,10,2,Oficina,True,Moderado
550,16,2,Local,True,Moderado
222,11,5,Apartamento,False,Moderado
171,11,8,Casa,False,Moderado
433,9,2,Oficina,False,Moderado
913,17,10,Casa,False,Moderado
879,18,5,Local,False,Moderado
806,6,4,Casa,True,Moderado
933,5,2,Casa,True,Moderado
130,19,11,Apartamento,True,Moderado
744,20,5,Casa,False,Moderado
777,5,10,Casa,True,Ineficiente
654,8,11,Casa,False,Ineficiente
269,11,7,Casa,False,Moderado
204,19,7,Casa,False,Moderado
229,20,2,Casa,False,Eficiente
393,5,11,Casa,True,Ineficiente
649,11,3,Casa,False,Moderado
421,2,12,Apartamento,False,Ineficiente
384,19,7,Casa,True,Moderado
771,6,3,Oficina,True,Moderado
761,16,4,Local,False,Moderado
917,18,5,Casa,True,Moderado
862,4,12,Apartamento,False,Ineficiente
133,13,6,Local,False,Moderado
523,3,10,Oficina,True,Ineficiente
692,2,13,Apartamento,False,Ineficiente
343,18,5,Casa,True,Moderado
132,17,12,Apartamento,False,Moderado
651,6,10,Apartamento,True,Ineficiente
699,16,12,Apartamento,False,Moderado
84,4,11,Casa,True,Moderado
182,8,4,Local,True,Moderado
275,12,9,Oficina,True,Moderado
853,11,13,Casa,True,Ineficiente
429,10,2,Casa,True,Moderado
126,15,12,Casa,False,Moderado
946,14,10,Local,False,Ineficiente
902,3,10,Apartamento,True,Ineficiente
899,4,11,Apartamento,True,Ineficiente
735,8,3,Casa,False,Moderado
348,19,5,Apartamento,False,Moderado
449,4,9,Casa,True,Ineficiente
715,11,8,Casa,False,Ineficiente
185,8,2,Apartamento,True,Eficiente
749,10,6,Oficina,False,Moderado
738,18,8,Oficina,True,Moderado
736,12,5,Oficina,True,Moderado
199,8,2,Casa,False,Eficiente
910,15,10,Casa,True,Ineficiente
866,20,6,Apartamento,False,Moderado
683,5,12,Oficina,True,Ineficiente
137,7,3,Casa,False,Eficiente
425,11,9,Casa,False,Moderado
820,8,12,Casa,True,Ineficiente
553,14,3,Apartamento,False,Moderado
196,15,4,Casa,False,Moderado
909,5,11,Casa,False,Ineficiente
870,9,2,Casa,False,Moderado
206,6,12,Casa,False,Moderado
472,2,3,Local,True,Moderado
720,5,8,Casa,True,Ineficiente
137,4,11,Apartamento,False,Moderado
713,10,3,Apartamento,False,Moderado
592,9,7,Local,True,Moderado
830,2,4,Casa,False,Moderado
881,7,5,Oficina,False,Moderado
175,10,12,Apartamento,True,Moderado
717,8,9,Oficina,True,Ineficiente
197,5,4,Oficina,False,Moderado
639,14,11,Casa,True,Moderado
680,18,7,Casa,False,Moderado
567,3,2,Casa,False,Moderado
316,6,8,Apartamento,True,Moderado
351,13,9,Casa,True,Moderado
268,9,12,Casa,True,Moderado
783,7,9,Casa,False,Ineficiente
526,9,4,Casa,False,Moderado
660,19,11,Casa,True,Moderado
869,4,2,Casa,False,Moderado
940,13,10,Casa,True,Ineficiente
326,4,7,Casa,True,Moderado
155,7,12,Casa,True,Moderado
233,3,10,Casa,True,Ineficiente
735,13,8,Local,True,Ineficiente
514,3,2,Apartamento,True,Moderado
165,7,13,Casa,False,Moderado
776,18,13,Casa,False,Moderado
364,4,2,Local,True,Moderado
299,3,7,Local,True,Moderado
148,21,6,Local,True,Moderado
126,9,10,Apartamento,True,Moderado
173,13,3,Casa,False,Eficiente
829,5,9,Casa,True,Ineficiente
532,6,12,Casa,True,Ineficiente
283,14,6,Oficina,True,Moderado
297,16,3,Apartamento,True,Eficiente
553,17,11,Apartamento,True,Moderado
511,11,12,Casa,False,Moderado
420,17,12,Local,True,Moderado
630,13,13,Casa,False,Moderado
691,18,7,Casa,False,Moderado
368,17,11,Casa,False,Moderado
333,13,9,Apartamento,False,Moderado
813,9,5,Casa,False,Moderado
436,21,3,Local,True,Eficiente
102,4,13,Casa,False,Moderado
841,17,12,Apartamento,False,Moderado
601,14,6,Apartamento,True,Moderado
837,20,13,Casa,False,Moderado
916,9,3,Local,False,Moderado
179,6,3,Apartamento,False,Moderado
881,21,7,Apartamento,True,Moderado
259,9,12,Local,True,Moderado
302,13,11,Apartamento,True,Moderado
841,2,10,Casa,True,Ineficiente
738,21,5,Apartamento,False,Moderado
521,7,7,Casa,False,Moderado
687,19,8,Casa,True,Moderado
848,9,12,Casa,False,Ineficiente
404,8,7,Apartamento,True,Moderado
595,2,9,Apartamento,True,Ineficiente
95,17,5,Casa,False,Moderado
871,13,13,Apartamento,False,Ineficiente
415,7,2,Oficina,False,Moderado
838,21,8,Casa,False,Moderado
337,3,4,Casa,False,Moderado
576,15,7,Apartamento,False,Moderado
239,5,3,Casa,True,Moderado
554,2,10,Apartamento,False,Ineficiente
931,19,2,Casa,False,Moderado
743,14,7,Casa,False,Moderado
769,3,7,Apartamento,True,Moderado
754,10,6,Apartamento,False,Moderado
459,3,6,Local,False,Moderado
624,10,2,Local,True,Moderado
770,2,11,Apartamento,False,Ineficiente
506,12,13,Apartamento,True,Moderado
692,4,6,Casa,True,Moderado
347,21,3,Apartamento,False,Eficiente
914,5,8,Casa,False,Ineficiente
656,19,4,Local,True,Moderado
496,7,5,Casa,False,Moderado
247,4,4,Apartamento,False,Moderado
921,12,4,Casa,True,Moderado
122,16,5,Apartamento,False,Moderado
635,6,6,Local,False,Moderado
364,21,2,Casa,False,Eficiente
476,11,5,Local,False,Moderado
91,13,13,Casa,False,Moderado
686,16,13,Apartamento,True,Moderado
381,18,12,Local,True,Moderado
332,11,9,Casa,False,Moderado
578,7,11,Oficina,False,Ineficiente
833,19,8,Casa,True,Moderado
114,14,10,Casa,False,Moderado
806,4,6,Oficina,False,Moderado
928,11,11,Casa,True,Ineficiente
169,15,5,Oficina,True,Moderado
855,7,9,Oficina,True,Ineficiente
684,4,10,Casa,False,Ineficiente
681,17,8,Apartamento,True,Moderado
497,8,8,Casa,True,Ineficiente
194,21,6,Casa,False,Moderado
696,15,5,Casa,False,Moderado
275,10,11,Casa,True,Moderado
905,16,2,Casa,True,Moderado
580,4,11,Casa,False,Ineficiente
705,3,11,Oficina,False,Ineficiente
572,3,8,Local,False,Ineficiente
154,4,2,Apartamento,False,Moderado
492,19,2,Apartamento,True,Eficiente
455,15,6,Local,True,Moderado
499,21,10,Casa,True,Moderado
808,19,7,Apartamento,True,Moderado
356,11,4,Oficina,False,Moderado
840,3,4,Casa,True,Moderado
755,2,8,Apartamento,True,Ineficiente
473,5,7,Local,False,Moderado
948,15,10,Oficina,True,Ineficiente
536,2,7,Apartamento,True,Moderado
271,15,6,Casa,True,Moderado
818,17,11,Casa,False,Moderado
768,15,8,Casa,False,Moderado
178,21,2,Apartamento,True,Eficiente
627,4,13,Casa,False,Ineficiente
175,4,8,Local,False,Moderado
743,10,4,Casa,False,Moderado
742,7,10,Casa,False,Ineficiente
269,14,7,Casa,False,Moderado
815,3,10,Apartamento,False,Ineficiente
116,9,6,Casa,True,Moderado
859,3,8,Casa,True,Ineficiente
448,5,5,Casa,True,Moderado
774,16,8,Casa,False,Moderado
604,5,2,Casa,False,Moderado
358,14,8,Local,False,Moderado
296,13,9,Apartamento,True,Moderado
946,14,6,Casa,False,Moderado
877,15,3,Local,False,Moderado
352,21,6,Oficina,False,Moderado
141,19,7,Apartamento,False,Moderado
675,7,13,Apartamento,False,Ineficiente
808,12,3,Local,False,Moderado
421,3,7,Oficina,False,Moderado
476,20,7,Apartamento,False,Moderado
778,20,2,Casa,True,Moderado
98,6,2,Apartamento,True,Eficiente
256,20,12,Apartamento,False,Moderado
691,3,11,Casa,True,Ineficiente
475,11,4,Casa,False,Moderado
524,3,11,Local,True,Ineficiente
312,12,11,Apartamento,False,Moderado
155,19,13,Casa,True,Moderado
344,16,4,Apartamento,True,Moderado
534,10,5,Casa,False,Moderado
875,20,3,Casa,True,Moderado
797,10,10,Apartamento,True,Ineficiente
814,4,11,Casa,True,Ineficiente
463,10,13,Casa,False,Moderado
643,15,12,Oficina,True,Moderado
930,20,8,Casa,False,Moderado
585,8,8,Casa,False,Ineficiente
446,17,7,Oficina,False,Moderado
223,17,4,Apartamento,False,Moderado
148,2,7,Apartamento,False,Moderado
178,5,13,Local,True,Moderado
475,5,9,Casa,False,Ineficiente
104,8,9,Apartamento,True,Moderado
548,9,12,Apartamento,False,Ineficiente
563,18,10,Local,True,Moderado
644,6,2,Apartamento,False,Moderado
230,8,2,Apartamento,True,Moderado
223,21,4,Casa,True,Moderado
648,21,4,Casa,False,Moderado
118,5,11,Apartamento,False,Moderado
188,7,9,Apartamento,True,Moderado
772,8,11,Apartamento,False,Ineficiente
121,19,2,Casa,False,Eficiente
265,6,3,Apartamento,False,Moderado
477,21,3,Apartamento,False,Eficiente
302,4,4,Local,True,Moderado
713,8,7,Apartamento,True,Moderado
212,15,2,Oficina,False,Eficiente
242,8,3,Local,False,Moderado
294,6,2,Apartamento,True,Moderado
812,6,6,Apartamento,True,Moderado
314,3,8,Oficina,False,Ineficiente
922,7,9,Apartamento,True,Ineficiente
737,16,11,Local,True,Moderado
830,11,2,Apartamento,True,Moderado
667,8,8,Apartamento,True,Ineficiente
88,6,6,Casa,True,Moderado
153,2,11,Casa,False,Ineficiente
571,14,2,Oficina,True,Moderado
332,19,4,Apartamento,True,Moderado
309,14,8,Apartamento,True,Moderado
598,19,11,Oficina,False,Moderado
253,6,2,Apartamento,True,Moderado
732,14,8,Apartamento,False,Moderado
247,5,6,Apartamento,False,Moderado
249,18,2,Apartamento,True,Eficiente
472,4,2,Casa,True,Moderado
874,18,2,Casa,True,Moderado
713,12,12,Casa,False,Ineficiente
273,21,10,Casa,False,Moderado
596,5,12,Apartamento,True,Ineficiente
108,3,4,Casa,False,Moderado
244,21,6,Casa,True,Moderado
501,17,12,Casa,False,Moderado
418,19,11,Casa,False,Moderado
727,9,13,Apartamento,False,Ineficiente
575,4,10,Local,False,Ineficiente
444,10,7,Apartamento,False,Moderado
912,21,13,Casa,False,Moderado
421,7,10,Casa,False,Ineficiente
579,11,9,Casa,False,Moderado
736,11,9,Apartamento,True,Ineficiente
590,14,2,Casa,True,Moderado
406,18,10,Apartamento,False,Moderado
296,10,7,Casa,False,Moderado
380,18,10,Local,False,Moderado
211,10,4,Casa,False,Moderado
883,10,13,Casa,False,Ineficiente
149,2,4,Local,False,Moderado
331,3,7,Casa,False,Moderado
494,17,10,Casa,False,Moderado
866,2,8,Apartamento,True,Ineficiente
524,11,4,Apartamento,True,Moderado
261,19,4,Apartamento,False,Moderado
246,9,3,Casa,True,Eficiente
170,12,10,Casa,False,Moderado
793,3,4,Casa,True,Moderado
937,9,12,Casa,True,Ineficiente
610,9,6,Local,False,Moderado
118,18,10,Apartamento,False,Moderado
205,16,9,Casa,True,Moderado
530,18,3,Apartamento,False,Moderado
252,14,4,Casa,False,Moderado
