consumo_kwh,cantidad_equipos,horas_alto_consumo,tipo_inmueble,uso_horario_pico,numero_habitantes,antiguedad_inmueble,calefaccion,aire_acondicionado,categoria
1500,14,8,Apartamento,True,5,41,False,True,Ineficiente
672,21,11,Apartamento,False,2,9,False,False,Moderado
565,21,4,Oficina,False,4,47,True,False,Moderado
498,22,9,Casa,False,1,32,False,False,Moderado
368,19,5,Casa,True,5,15,False,False,Moderado
595,5,5,Oficina,False,1,35,False,True,Moderado
310,2,6,Local,True,4,5,False,False,Moderado
1500,19,7,Casa,False,2,18,True,True,Moderado
144,2,8,Apartamento,True,3,30,True,False,Ineficiente
1357,14,15,Apartamento,False,4,1,True,False,Ineficiente
333,21,15,Apartamento,False,3,17,True,True,Moderado
364,21,5,Casa,True,1,41,False,True,Moderado
1340,24,9,Apartamento,True,5,27,True,True,Moderado
1311,11,14,Casa,True,2,3,False,True,Ineficiente
1363,12,7,Local,True,4,0,True,False,Moderado
1496,10,15,Local,True,2,46,False,True,Ineficiente
907,10,2,Apartamento,False,3,41,True,True,Moderado
758,6,2,Casa,True,3,49,True,True,Moderado
884,2,10,Casa,False,6,15,False,False,Ineficiente
277,18,11,Apartamento,True,5,44,True,True,Moderado
991,23,7,Local,False,3,46,False,True,Moderado
805,3,11,Casa,False,5,1,False,False,Ineficiente
1352,14,9,Apartamento,True,6,35,False,True,Ineficiente
899,10,14,Casa,True,4,0,False,True,Ineficiente
722,5,8,Casa,True,6,38,False,False,Ineficiente
1440,6,13,Casa,True,5,22,False,True,Ineficiente
582,12,7,Casa,False,3,25,False,False,Moderado
846,20,5,Casa,False,1,10,False,False,Moderado
477,22,8,Apartamento,False,5,41,False,False,Moderado
1235,4,10,Oficina,False,2,0,False,True,Ineficiente
874,13,15,Local,False,1,10,False,False,Ineficiente
472,20,12,Casa,False,5,23,False,False,Moderado
371,20,11,Casa,False,2,9,False,True,Moderado
1500,14,11,Casa,False,6,13,True,True,Ineficiente
1165,8,15,Casa,True,1,13,True,False,Ineficiente
1131,16,8,Apartamento,True,5,6,True,False,Ineficiente
986,24,2,Apartamento,False,4,22,True,False,Moderado
771,8,11,Casa,True,6,42,True,False,Ineficiente
1100,9,10,Casa,True,2,21,False,False,Ineficiente
273,6,14,Casa,False,4,35,True,True,Moderado
564,22,5,Casa,True,3,26,False,False,Moderado
372,15,4,Local,False,6,1,True,False,Moderado
993,5,5,Casa,True,6,38,True,False,Moderado
806,24,5,Apartamento,False,5,50,False,True,Moderado
1480,11,14,Apartamento,False,5,45,False,True,Ineficiente
785,21,11,Oficina,True,2,18,False,True,Moderado
1189,16,12,Oficina,False,6,6,False,False,Ineficiente
657,19,3,Local,False,5,11,False,False,Eficiente
1187,21,15,Casa,True,3,2,True,True,Moderado
826,14,13,Apartamento,True,5,46,False,True,Moderado
1310,9,15,Local,True,6,4,True,False,Ineficiente
725,10,2,Casa,False,1,7,False,False,Moderado
875,17,13,Apartamento,False,4,13,False,False,Moderado
1470,20,11,Oficina,True,6,35,False,True,Moderado
419,17,13,Apartamento,False,3,6,True,True,Moderado
712,8,2,Casa,True,6,6,False,False,Moderado
848,15,14,Casa,False,3,49,True,False,Moderado
1500,15,15,Apartamento,True,6,45,True,True,Ineficiente
946,5,9,Casa,False,4,31,True,False,Ineficiente
728,16,15,Apartamento,True,4,7,False,False,Moderado
476,4,3,Local,False,3,11,True,False,Moderado
991,6,13,Casa,False,6,9,False,True,Ineficiente
743,2,11,Oficina,False,4,13,False,False,Ineficiente
625,4,6,Apartamento,True,2,8,True,False,Moderado
643,16,13,Casa,False,6,37,False,False,Moderado
1237,9,5,Local,True,4,29,True,False,Moderado
1184,5,9,Local,False,1,4,False,False,Ineficiente
933,3,3,Apartamento,False,1,0,True,False,Moderado
192,11,11,Oficina,False,2,0,False,False,Moderado
105,5,10,Local,False,4,19,False,True,Moderado
937,4,8,Oficina,True,1,48,False,True,Ineficiente
466,3,14,Apartamento,False,6,10,True,True,Ineficiente
934,18,8,Local,False,5,25,False,False,Moderado
464,24,2,Oficina,False,4,43,False,False,Eficiente
1500,22,15,Local,False,2,2,False,True,Moderado
1051,21,13,Casa,False,4,5,False,True,Moderado
508,24,3,Apartamento,True,3,42,True,True,Eficiente
915,14,5,Apartamento,False,3,44,False,False,Moderado
366,6,5,Casa,False,1,10,False,True,Moderado
202,22,12,Oficina,False,3,7,False,False,Moderado
480,10,15,Casa,True,2,28,False,False,Moderado
1015,23,4,Casa,True,1,9,True,False,Moderado
447,7,8,Oficina,True,2,33,True,False,Moderado
430,6,13,Apartamento,False,6,23,True,False,Ineficiente
963,11,9,Casa,False,2,45,False,False,Ineficiente
277,9,3,Apartamento,True,3,47,False,False,Eficiente
1379,8,5,Apartamento,False,6,16,False,True,Moderado
831,8,15,Casa,False,3,31,False,False,Ineficiente
223,7,4,Oficina,False,2,10,False,False,Moderado
894,22,3,Apartamento,True,3,33,False,True,Eficiente
414,21,13,Apartamento,False,3,23,True,True,Moderado
705,4,14,Apartamento,True,3,4,False,True,Ineficiente
739,20,15,Apartamento,False,4,28,False,False,Moderado
1095,23,7,Casa,True,6,47,False,True,Moderado
1240,16,14,Casa,False,6,47,True,False,Ineficiente
626,5,5,Apartamento,False,6,33,False,True,Moderado
293,13,7,Local,True,2,15,False,True,Moderado
943,7,3,Casa,True,5,24,False,False,Moderado
568,20,13,Apartamento,False,2,36,False,False,Moderado
1008,5,5,Local,False,6,7,False,False,Moderado
630,16,12,Casa,False,1,28,False,False,Moderado
542,10,7,Casa,True,3,45,False,True,Moderado
951,6,15,Casa,True,3,24,False,False,Ineficiente
936,14,6,Apartamento,True,5,41,False,True,Moderado
717,24,4,Casa,True,1,22,False,True,Moderado
299,19,9,Apartamento,False,4,33,False,True,Moderado
342,6,8,Apartamento,True,2,2,False,False,Moderado
289,17,4,Apartamento,True,4,29,False,True,Moderado
552,20,7,Casa,True,1,49,False,True,Moderado
913,15,5,Apartamento,True,5,33,False,True,Moderado
1424,17,12,Local,False,1,31,False,True,Ineficiente
1248,16,6,Oficina,False,5,28,False,True,Moderado
105,23,12,Oficina,True,4,8,False,True,Moderado
1500,5,6,Apartamento,True,4,1,True,True,Moderado
432,8,8,Apartamento,True,1,38,False,True,Moderado
691,17,12,Casa,False,1,6,False,True,Moderado
1140,23,6,Casa,False,3,45,False,False,Moderado
1094,22,12,Casa,True,5,4,False,False,Moderado
105,23,4,Apartamento,False,3,7,True,False,Moderado
895,22,11,Casa,False,2,31,False,False,Moderado
373,9,6,Casa,False,2,17,False,True,Moderado
627,18,8,Oficina,False,1,37,False,True,Moderado
231,17,6,Casa,True,4,45,False,False,Moderado
133,24,6,Casa,True,2,17,False,False,Moderado
707,11,10,Casa,True,2,48,False,False,Moderado
666,11,4,Apartamento,False,3,40,False,False,Moderado
285,3,14,Apartamento,False,3,44,True,True,Ineficiente
399,10,7,Casa,False,2,15,True,False,Moderado
706,18,2,Apartamento,True,1,20,True,False,Eficiente
277,12,11,Local,True,3,9,True,True,Moderado
278,11,6,Local,True,2,41,True,False,Moderado
1500,23,9,Oficina,True,4,3,True,True,Moderado
957,18,6,Local,False,3,43,False,False,Moderado
650,5,10,Apartamento,True,2,7,True,True,Ineficiente
1405,17,12,Casa,True,5,46,True,True,Moderado
1243,21,7,Casa,False,3,18,True,False,Moderado
312,16,9,Casa,True,5,46,False,True,Moderado
880,22,11,Apartamento,True,3,39,False,False,Moderado
572,6,9,Local,True,3,39,True,False,Ineficiente
1163,7,14,Apartamento,False,6,50,False,True,Ineficiente
624,18,4,Casa,False,6,8,False,True,Moderado
719,2,8,Apartamento,True,5,29,False,False,Ineficiente
1136,20,15,Oficina,False,1,16,False,False,Moderado
767,5,8,Apartamento,True,2,39,False,False,Ineficiente
646,18,15,Local,False,1,43,True,False,Moderado
1034,10,11,Local,False,1,14,False,False,Ineficiente
713,3,13,Oficina,False,6,3,False,True,Ineficiente
1125,9,7,Local,False,2,5,False,False,Moderado
994,16,13,Local,False,6,15,True,False,Moderado
117,8,8,Casa,False,6,25,False,False,Moderado
309,7,15,Casa,False,6,36,False,False,Moderado
770,2,3,Apartamento,False,4,22,True,False,Moderado
517,16,10,Casa,True,1,12,False,False,Moderado
106,24,11,Oficina,True,1,46,False,False,Moderado
305,8,11,Casa,True,1,16,False,False,Moderado
877,18,2,Oficina,True,4,26,False,False,Moderado
566,3,2,Casa,False,3,21,True,True,Moderado
958,10,4,Casa,False,5,36,False,False,Moderado
1039,10,15,Oficina,False,5,18,False,False,Ineficiente
829,14,4,Casa,True,4,38,True,True,Moderado
1099,7,2,Casa,True,1,34,False,False,Moderado
1163,7,13,Casa,False,5,12,False,True,Ineficiente
959,21,8,Apartamento,True,4,13,False,True,Moderado
626,21,5,Casa,True,6,47,False,False,Moderado
1152,22,11,Apartamento,False,2,30,False,False,Moderado
96,4,14,Apartamento,False,5,44,False,False,Moderado
308,18,3,Local,True,2,1,False,True,Eficiente
867,18,11,Local,False,1,45,True,True,Moderado
1149,13,6,Apartamento,False,5,38,False,False,Moderado
931,17,7,Casa,False,4,36,True,True,Moderado
213,16,10,Local,False,3,13,True,False,Moderado
1140,14,5,Casa,True,5,8,False,False,Moderado
430,24,3,Apartamento,False,5,9,True,False,Eficiente
748,2,6,Apartamento,True,5,6,False,True,Moderado
495,18,4,Oficina,True,5,27,False,True,Moderado
338,4,3,Apartamento,False,4,45,False,True,Moderado
1070,16,13,Casa,False,4,24,True,True,Moderado
934,5,2,Apartamento,False,3,45,True,False,Moderado
1286,5,11,Apartamento,False,4,27,True,False,Ineficiente
351,19,3,Casa,False,4,1,False,True,Eficiente
431,18,7,Apartamento,False,1,16,False,True,Moderado
1500,20,9,Local,False,1,3,True,True,Moderado
1007,12,14,Oficina,True,2,12,False,False,Ineficiente
269,21,4,Apartamento,True,3,17,False,True,Moderado
97,4,12,Casa,True,1,2,False,False,Moderado
1006,9,10,Casa,True,3,50,True,True,Ineficiente
843,15,13,Oficina,False,3,36,False,True,Moderado
994,2,10,Local,False,5,32,False,True,Ineficiente
705,15,3,Casa,False,6,40,False,False,Moderado
1119,3,9,Casa,False,6,23,True,False,Ineficiente
1249,24,11,Local,False,6,7,True,False,Moderado
304,5,12,Casa,True,3,34,False,True,Moderado
887,20,13,Casa,True,5,1,True,True,Moderado
1123,7,6,Casa,True,2,32,False,True,Moderado
325,2,5,Casa,False,2,11,False,False,Moderado
1484,18,11,Apartamento,True,6,21,False,True,Ineficiente
838,9,6,Local,False,2,12,False,False,Moderado
802,20,5,Casa,False,5,9,False,True,Moderado
1300,22,9,Casa,True,6,16,False,True,Moderado
487,2,5,Casa,True,5,42,False,False,Moderado
942,6,14,Apartamento,False,2,4,True,True,Ineficiente
907,17,11,Casa,True,6,8,False,False,Moderado
1276,7,13,Apartamento,False,5,12,False,True,Ineficiente
149,9,14,Local,False,4,22,False,True,Moderado
764,14,15,Casa,False,4,29,False,False,Moderado
154,17,7,Casa,False,5,42,True,True,Moderado
400,4,3,Casa,False,5,3,False,False,Moderado
709,20,6,Apartamento,False,1,20,True,False,Moderado
622,13,7,Oficina,True,1,42,False,True,Moderado
733,17,6,Casa,False,3,8,False,False,Moderado
1500,12,13,Oficina,True,6,6,True,True,Ineficiente
660,11,3,Casa,True,3,15,True,False,Moderado
1195,21,15,Local,True,3,22,False,False,Moderado
913,5,8,Apartamento,False,2,22,False,False,Ineficiente
806,13,5,Apartamento,True,4,30,False,False,Moderado
933,24,9,Apartamento,True,2,4,False,False,Moderado
130,3,8,Apartamento,False,6,5,False,False,Moderado
1020,23,8,Local,False,5,50,True,True,Moderado
229,20,10,Local,False,1,0,False,False,Moderado
613,6,2,Apartamento,False,6,47,True,True,Moderado
649,9,11,Casa,False,5,27,False,False,Ineficiente
460,8,7,Casa,False,6,17,True,False,Moderado
761,15,7,Local,True,5,23,False,False,Moderado
917,24,7,Apartamento,False,1,12,False,False,Moderado
1157,4,14,Apartamento,False,5,32,False,False,Ineficiente
1406,19,13,Apartamento,True,3,9,False,True,Ineficiente
815,17,7,Oficina,False,6,6,True,True,Moderado
692,24,13,Apartamento,True,1,36,False,False,Moderado
1286,20,11,Local,False,5,31,True,False,Moderado
343,20,8,Local,True,3,44,False,False,Moderado
1387,19,15,Casa,False,3,21,True,False,Ineficiente
1500,21,11,Casa,False,4,15,True,True,Moderado
100,17,7,Local,False,3,23,True,False,Moderado
1330,9,2,Casa,False,2,13,True,True,Moderado
1242,2,4,Oficina,True,1,10,False,True,Moderado
1392,18,3,Casa,True,1,18,False,True,Moderado
1155,13,7,Casa,True,1,22,True,False,Moderado
126,22,9,Oficina,False,5,33,False,False,Moderado
1229,12,4,Apartamento,False,6,39,False,True,Moderado
902,6,11,Casa,True,5,12,False,False,Ineficiente
1319,13,9,Local,True,2,38,False,True,Ineficiente
882,18,9,Apartamento,False,6,43,True,False,Moderado
417,7,6,Apartamento,True,3,27,True,False,Moderado
583,2,9,Casa,False,5,39,False,True,Ineficiente
715,6,7,Local,True,6,15,False,False,Moderado
956,15,6,Oficina,False,3,49,False,True,Moderado
199,6,10,Casa,True,6,50,False,False,Moderado
910,23,15,Oficina,False,3,27,False,False,Moderado
1500,2,8,Oficina,False,6,3,False,True,Ineficiente
820,19,9,Apartamento,True,5,27,False,False,Moderado
254,17,2,Apartamento,False,5,11,False,True,Eficiente
870,10,12,Casa,False,2,15,False,False,Ineficiente
1419,20,3,Casa,False,4,48,False,True,Moderado
1500,23,9,Local,False,1,35,False,True,Moderado
713,6,13,Oficina,True,5,19,False,False,Ineficiente
923,3,10,Apartamento,False,5,25,True,True,Ineficiente
881,16,5,Apartamento,False,3,25,False,False,Moderado
1199,8,13,Casa,False,4,21,False,False,Ineficiente
639,5,11,Casa,False,5,8,False,False,Ineficiente
737,2,12,Apartamento,True,6,4,False,True,Ineficiente
1171,14,11,Casa,False,4,16,True,False,Ineficiente
939,21,15,Apartamento,False,1,48,True,False,Moderado
858,23,10,Casa,True,6,33,False,True,Moderado
1042,8,5,Local,False,3,1,True,False,Moderado
1222,16,11,Casa,False,2,6,False,True,Ineficiente
391,24,11,Apartamento,True,6,35,True,False,Moderado
1179,15,11,Apartamento,True,1,12,False,False,Ineficiente
233,24,10,Casa,False,6,19,False,False,Moderado
1076,20,12,Casa,True,4,29,False,False,Moderado
1500,23,8,Casa,True,4,29,True,True,Moderado
1008,21,3,Oficina,True,1,10,False,True,Eficiente
1500,19,10,Casa,True,4,30,True,True,Moderado
1500,11,5,Local,False,6,2,True,True,Moderado
1305,10,9,Oficina,False,2,1,True,False,Ineficiente
173,9,15,Local,False,6,47,False,False,Moderado
1500,11,8,Casa,False,2,2,True,True,Ineficiente
1091,18,14,Oficina,False,4,14,False,False,Moderado
638,3,8,Casa,True,6,16,True,False,Ineficiente
1288,7,9,Apartamento,False,4,47,False,True,Ineficiente
463,6,2,Oficina,True,2,6,True,True,Moderado
553,10,6,Apartamento,True,4,47,False,False,Moderado
613,6,3,Apartamento,False,5,4,True,False,Moderado
420,19,3,Casa,False,3,33,False,False,Eficiente
819,21,2,Casa,False,6,32,False,True,Eficiente
436,10,6,Apartamento,False,5,44,False,False,Moderado
122,18,3,Casa,False,4,15,True,False,Eficiente
781,18,5,Oficina,False,4,36,False,True,Moderado
1145,13,4,Oficina,False,3,2,False,True,Moderado
1093,8,4,Oficina,True,4,46,False,True,Moderado
677,4,3,Apartamento,True,3,47,False,True,Moderado
1102,11,14,Apartamento,False,6,42,False,True,Ineficiente
1314,3,7,Oficina,False,2,50,True,False,Moderado
595,4,3,Oficina,True,3,49,False,False,Moderado
1342,17,15,Apartamento,True,3,20,True,False,Ineficiente
1358,3,15,Casa,True,5,40,True,True,Ineficiente
415,11,9,Casa,False,4,7,False,False,Moderado
337,7,9,Apartamento,False,6,21,False,False,Moderado
576,23,14,Apartamento,False,2,50,False,False,Moderado
975,12,15,Local,False,1,4,False,False,Ineficiente
239,24,13,Casa,False,3,16,False,False,Moderado
931,8,6,Casa,False,1,36,False,False,Moderado
999,16,11,Casa,True,4,13,False,True,Moderado
716,7,8,Casa,True,3,38,True,True,Ineficiente
1036,21,5,Casa,False,1,40,False,False,Moderado
924,10,2,Apartamento,True,5,27,True,False,Moderado
1375,23,12,Apartamento,False,1,30,True,False,Moderado
364,21,3,Local,False,5,16,False,False,Eficiente
476,13,11,Casa,True,2,34,False,False,Moderado
118,20,11,Casa,False,4,39,False,True,Moderado
751,21,5,Apartamento,False,6,21,False,True,Moderado
1082,4,2,Oficina,True,1,44,False,True,Moderado
136,16,14,Casa,False,3,47,True,False,Moderado
806,3,9,Local,False,4,28,False,False,Ineficiente
928,22,10,Casa,True,1,9,False,False,Moderado
169,3,5,Oficina,True,3,17,False,False,Moderado
1111,23,11,Local,False,3,34,False,True,Moderado
889,4,4,Casa,False,6,43,False,True,Moderado
1049,7,3,Apartamento,False,6,15,False,False,Moderado
1101,16,6,Casa,False,3,49,False,False,Moderado
775,11,15,Oficina,False,6,48,True,True,Moderado
232,10,4,Apartamento,True,3,6,True,False,Moderado
904,2,11,Apartamento,False,1,29,False,True,Ineficiente
1176,17,8,Local,True,2,18,False,True,Moderado
1178,7,12,Local,True,6,22,False,False,Ineficiente
767,10,7,Casa,False,5,7,True,True,Moderado
808,5,2,Apartamento,False,5,16,False,False,Moderado
1430,3,13,Casa,True,5,20,False,True,Ineficiente
840,5,9,Casa,False,2,25,False,False,Ineficiente
906,2,3,Apartamento,False,3,27,True,False,Moderado
536,20,6,Casa,False,3,38,False,False,Moderado
1298,11,10,Casa,True,4,32,False,True,Ineficiente
352,22,9,Local,False,5,39,False,True,Moderado
818,16,3,Casa,True,5,18,False,False,Moderado
1374,23,10,Apartamento,True,3,28,False,True,Moderado
1305,20,6,Casa,False,5,19,True,False,Moderado
175,17,11,Casa,False,3,19,False,False,Moderado
964,22,15,Casa,False,3,9,False,True,Moderado
139,23,7,Apartamento,False,6,11,True,False,Moderado
358,5,14,Local,True,3,32,False,False,Moderado
355,3,4,Casa,False,1,24,True,False,Moderado
1229,14,14,Casa,True,1,24,False,True,Ineficiente
1237,2,4,Oficina,False,1,3,False,True,Moderado
219,18,11,Casa,True,1,3,True,True,Moderado
877,14,9,Oficina,False,2,8,False,True,Moderado
1050,5,12,Casa,False,4,14,False,True,Ineficiente
571,8,11,Local,False,4,25,True,False,Moderado
1011,18,11,Casa,False,3,14,False,True,Moderado
1500,10,13,Oficina,False,5,25,True,True,Ineficiente
332,5,3,Local,True,1,27,False,True,Moderado
741,20,12,Apartamento,True,4,6,True,True,Moderado
817,2,13,Casa,False,4,31,True,True,Ineficiente
155,11,13,Local,True,1,11,False,False,Moderado
344,5,3,Apartamento,False,2,34,False,False,Moderado
833,10,14,Casa,True,2,31,True,True,Moderado
1036,14,6,Casa,True,4,8,False,True,Moderado
814,15,7,Local,False,2,13,False,False,Moderado
1209,11,13,Casa,False,6,12,False,True,Ineficiente
289,7,3,Apartamento,False,1,43,False,True,Eficiente
964,17,6,Apartamento,False,4,32,False,False,Moderado
1172,7,8,Oficina,False,1,31,False,False,Ineficiente
475,18,11,Oficina,True,2,18,False,False,Moderado
1128,11,11,Oficina,True,1,29,False,False,Ineficiente
1232,19,9,Casa,False,2,15,True,False,Moderado
1164,23,13,Oficina,False,2,11,True,False,Moderado
777,19,8,Casa,False,1,9,True,False,Moderado
1500,4,9,Apartamento,False,2,1,True,True,Ineficiente
225,21,15,Apartamento,True,6,17,True,False,Moderado
1488,22,13,Casa,True,3,12,False,True,Moderado
1318,16,10,Oficina,False,1,28,False,True,Ineficiente
477,16,6,Casa,False,3,23,False,False,Moderado
713,5,14,Apartamento,True,1,37,False,False,Ineficiente
974,10,6,Local,True,2,11,True,False,Moderado
408,20,12,Local,True,2,28,False,True,Moderado
737,18,11,Casa,False,4,21,False,False,Moderado
996,12,5,Apartamento,False,6,35,True,False,Moderado
867,10,14,Local,False,4,0,False,True,Ineficiente
1112,11,10,Casa,False,3,42,False,False,Ineficiente
1500,19,6,Apartamento,False,2,39,False,True,Moderado
1500,21,15,Casa,False,4,33,True,True,Moderado
742,14,3,Apartamento,True,2,33,False,True,Moderado
1289,9,11,Oficina,True,1,47,False,True,Ineficiente
249,8,9,Apartamento,True,4,32,False,False,Moderado
1332,18,8,Apartamento,False,3,3,False,True,Ineficiente
874,22,9,Apartamento,False,4,37,False,False,Moderado
926,24,13,Apartamento,False,2,29,False,True,Moderado
108,16,4,Casa,False,5,45,False,False,Moderado
418,21,5,Casa,True,5,19,False,False,Moderado
752,16,6,Apartamento,False,6,25,False,True,Moderado
590,2,7,Apartamento,False,2,14,False,False,Moderado
355,15,2,Apartamento,False,1,6,True,False,Eficiente
1173,6,5,Casa,True,4,6,False,False,Moderado
524,12,12,Casa,False,5,49,False,False,Moderado
955,17,13,Casa,False,1,28,False,False,Moderado
295,3,11,Oficina,False,2,22,True,False,Ineficiente
221,9,14,Apartamento,False,1,33,False,True,Moderado
793,12,6,Casa,False,2,19,False,False,Moderado
153,19,8,Casa,True,6,14,False,True,Moderado
327,4,14,Oficina,True,4,32,False,True,Moderado
1141,2,6,Casa,True,1,16,True,True,Moderado
999,12,14,Local,True,4,19,True,False,Ineficiente
1161,17,14,Casa,False,1,12,False,False,Ineficiente
865,19,2,Oficina,False,2,43,True,True,Eficiente
695,17,12,Oficina,False,2,23,False,True,Moderado
908,24,8,Apartamento,True,1,46,False,False,Moderado
1266,11,9,Casa,False,6,36,False,True,Ineficiente
1500,19,14,Casa,True,2,6,True,True,Ineficiente
559,7,8,Apartamento,True,3,7,True,False,Ineficiente
427,20,12,Apartamento,False,3,22,False,False,Moderado
349,5,15,Casa,False,4,13,False,True,Moderado
700,14,14,Casa,True,3,3,True,False,Moderado
903,15,5,Apartamento,True,3,20,False,False,Moderado
1008,4,9,Apartamento,False,6,45,False,False,Ineficiente
1500,11,6,Casa,True,6,9,True,True,Moderado
332,7,11,Casa,True,5,21,True,True,Moderado
178,2,10,Oficina,False,5,29,False,True,Ineficiente
916,24,13,Apartamento,True,6,29,True,False,Moderado
901,15,13,Local,True,5,15,True,False,Moderado
393,9,11,Apartamento,False,6,10,True,True,Moderado
894,20,6,Casa,False,5,21,False,False,Moderado
159,15,2,Casa,False,2,28,False,False,Eficiente
1158,11,13,Casa,True,6,24,True,False,Ineficiente
338,18,10,Local,True,4,13,True,False,Moderado
1011,10,13,Apartamento,True,4,13,True,False,Ineficiente
163,7,6,Casa,True,6,1,False,True,Moderado
882,12,7,Oficina,False,3,12,True,False,Moderado
550,8,5,Casa,False,4,2,False,False,Moderado
1500,18,7,Oficina,False,3,29,True,True,Moderado
1338,2,13,Oficina,True,4,17,True,False,Ineficiente
1271,23,9,Casa,True,1,35,True,True,Moderado
1121,6,4,Casa,False,1,20,False,True,Moderado
1361,10,6,Apartamento,True,6,18,False,True,Moderado
437,19,3,Apartamento,False,4,15,False,False,Eficiente
1261,22,15,Apartamento,False,2,27,True,False,Moderado
1165,3,3,Oficina,False,3,3,True,True,Moderado
452,12,14,Local,False,4,50,False,False,Moderado
1111,7,8,Casa,False,6,14,False,False,Ineficiente
755,9,11,Casa,True,3,0,False,False,Ineficiente
263,5,14,Apartamento,True,5,47,True,True,Moderado
1212,19,11,Casa,False,6,46,True,True,Moderado
742,12,15,Local,True,4,15,True,False,Moderado
811,6,12,Casa,False,2,19,False,False,Ineficiente
948,16,11,Casa,False,5,32,False,False,Moderado
120,19,7,Casa,False,6,16,False,False,Moderado
